제목,저자,발행처
소비단식 일기 :소비를 끊었다. 삶이 가벼워졌다,서박하 지음,휴머니스트출판그룹
수상한 중고상점 :오늘도 정상 영업 중: 미치오 슈스케 장편소설,미치오 슈스케 지음,놀: 다산북스
시간을 파는 상점 :김선영 장편소설,김선영 [지음],자음과모음
쓰레기 섬에서 살아남기,곰돌이co. 지음,미래엔(Mirae N): 아이세움
아노말리 :에르베 르 텔리에 장편소설,에르베 르 텔리에 지음,민음사
아몬드 :손원평 장편소설,손원평 지음,창비
아몬드 :손원평 장편소설,손원평 [지음],창비
아무튼 술,김혼비 [지음],제철소
아직 멀었다는 말 :권여선 소설,권여선 지음,문학동네
알로하 나의 엄마들 :이금이 장편소설,이금이 지음,창비
알로하 나의 엄마들 :이금이 장편소설,이금이 지음,창비
애쓰지 않아도 :최은영 짧은 소설,최은영 지음,마음산책
어느 날 내 죽음에 네가 들어왔다,세이카 료겐 지음,바이포엠 스튜디오
어떻게 말해줘야 할까 :오은영의 현실밀착 육아회화 : 버럭하지 않고 분명하게 알려주는 방법,오은영 글,김영사
언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다,이기주 [지음],말글터
에그박사 :자연 생물 관찰 만화 : egg&bugs .6,에그박사 원작,MiraeN 아이세움: 미래엔
엔드 오브 타임 :브라이언 그린이 말하는 세상의 시작과 진화 그리고 끝,브라이언 그린 지음,와이즈베리: 미래엔
역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰,최태성 지음,다산초당: 다산북스
영문법 콤플렉스 벗어나기,박영재 지음,와이넛
오늘 밤 세계에서 이 눈물이 사라진다 해도,이치조 미사키 지음,바이포엠 스튜디오
오무라이스 잼잼 :경이로운 일상음식 이야기 .1,조경규 글?그림,한겨레출판: 씨네21북스
오무라이스 잼잼 :경이로운 일상음식 이야기 .4,조경규 글?그림,한겨레출판
오무라이스 잼잼 :경이로운 일상음식 이야기 .5,조경규 글?그림,한겨레출판
오무라이스잼잼 :경이로운 일상음식 이야기 .2,조경규 글?그림,송송책방
용서받지 못한 밤 :미치오 슈스케 장편소설,미치오 슈스케 지음,놀: 다산북스
우리는 지금 문학이 필요하다 :문학 작품에 숨겨진 25가지 발명품,앵거스 플레처 지음,Being: 로크미디어
위대한 서양미술사 :서양 예술을 단숨에 독파하는 미술 이야기 .2 =The great art history,권이선 지음,가로책길
으라차차 라면 가게,구도 노리코 글?그림,책읽는곰
이야기의 끝,미나토 가나에 지음,소미미디어
일곱 해의 마지막 :김연수 장편소설,김연수 지음,문학동네
자산어보 [비디오녹화자료],이준익 감독,메가박스중앙 플러스엠 [공급]: 인조인간 [제작/판매]
작별하지 않는다 :한강 장편소설,한강 지음,문학동네
잘 살아라 그게 최고의 복수다,권민창 지음,바이포엠: Mindset
장군이네 떡집,김리리 글,비룡소
재인 재욱 재훈 :정세랑 소설,정세랑 [지음],은행나무
전세가를 알면 부동산 투자가 보인다 :부동산 가격 변화의 비밀 '심리 전세 정책',이현철 지음,매경출판: 매일경제신문사
정의란 무엇인가,마이클 샌델 [저],와이즈베리 : 미래엔
조인계획 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학
지구에서 한아뿐 :정세랑 장편소설,정세랑 지음,난다
지능의 역설 :우리가 몰랐던 지능의 사생활,가나자와 사토시 지음,연필
차이나 쇼크 한국의 선택 :왜 지금 중국이 문제인가?,한청훤 지음,Sideways(사이드웨이)
참을 수 없는 존재의 가벼움,밀란 쿤데라 지음,민음사
창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설,요나스 요나손 지음,열린책들
채식주의자 :한강 장편소설,한강 지음,창비
책 먹는 여우,프란치스카 비어만 글?그림,주니어김영사: 김영사
체리새우 :비밀글입니다 : 황영미 장편소설,황영미 지음,문학동네
최재천의 공부 :어떻게 배우며 살 것인가,최재천,김영사
치앙마이를 가장 멋지게 여행하는 방법 :#예술가 마을 #카페 놀이 #맛집 순례 #부티크 호텔 #골목 산책: 2019~2020년 최신판,신중숙,한빛라이프
